Year,Team,City,WL,Wins,Loss,YardsAllowed,Conference
2015,ARI,Arizona Cardinals,0.813,13,3,6853,AFC
2015,ATL,Atlanta Falcons,0.5,8,8,6645,NFC
2015,BAL,Baltimore Ravens,0.313,5,11,6401,AFC
2015,BUF,Buffalo Bills,0.5,8,8,7175,NFC
2015,CAR,Carolina Panthers,0.938,15,1,6615,AFC
2015,CHI,Chicago Bears,0.375,6,10,6847,NFC
2015,CIN,Cincinnati Bengals,0.75,12,4,7327,AFC
2015,CLE,Cleveland Browns,0.188,3,13,7494,NFC
2015,DAL,Dallas Cowboys,0.25,4,12,6659,AFC
2015,DEN,Denver Broncos,0.75,12,4,5613,NFC
2015,DET,Detroit Lions,0.438,7,9,6843,AFC
2015,GB,Green Bay Packers,0.625,10,6,6745,AFC
2015,HOU,Houston Texans,0.563,9,7,6753,NFC
2015,IND,Indianapolis Colts,0.5,8,8,6947,AFC
2015,JAC,Jacksonville Jaguars,0.313,5,11,7265,NFC
2015,KC,Kansas City Chiefs,0.688,11,5,6901,AFC
2015,MIA,Miami Dolphins,0.375,6,10,7294,NFC
2015,MIN,Minnesota Vikings,0.688,11,5,7192,AFC
2015,NE,New England Patriots,0.75,12,4,6768,NFC
2015,NO,New Orleans Saints,0.438,7,9,8124,AFC
2015,NYG,New York Giants,0.375,6,10,8486,NFC
2015,NYJ,New York Jets,0.625,10,6,6949,AFC
2015,OAK,Oakland Raiders,0.438,7,9,7136,AFC
2015,PHI,Philadelphia Eagles,0.438,7,9,7897,NFC
2015,PIT,Pittsburgh Steelers,0.625,10,6,7469,AFC
2015,SD,San Diego Chargers,0.25,4,12,7017,NFC
2015,SEA,San Francisco 49ers,0.625,10,6,6489,AFC
2015,SF,Seattle Seahawks,0.438,5,11,7432,NFC
2015,TB,Tampa Bay Buccaneers,0.375,6,10,7319,AFC
2015,TEN,Tennessee Titans,0.188,3,13,6720,NFC
2015,WAS,Washington Redskins,0.563,9,7,7210,AFC